CODIGO;DESCRIPCION;AGENTE PROPIETARIO;PORCENTAJE PROPIEDAD;TIPO UNIDAD;ESTADO;ZONA/FRONTERA
AAYUC01;AAYUMCO;AAYUM;100;COMERCIALIZADOR;;ZONA ESPANOLA
ABA1;ABARAN;WIND TO MARKET (Act.: Comercialización Re);100;GENERACION;;ZONA ESPANOLA
ABA2;ABARAN 2;WIND TO MARKET (Act.: Comercialización Re);100;GENERACION;;ZONA ESPANOLA
ABENVD1;ABENER REPR. TARIFA;ABENER ENERGIA, S.A.;100;GENERACION;;ZONA ESPANOLA
ABENVD2;ABENER TARIFA PS10;ABENER ENERGIA, S.A.;100;GENERACION;BAJA;ZONA ESPANOLA
ABENVD3;ABENER TARIFA PS20;ABENER ENERGIA, S.A.;100;GENERACION;BAJA;ZONA ESPANOLA
ABENVD4;ABENER TARIFA SOLNOVA1;ABENER ENERGIA, S.A.;100;GENERACION;BAJA;ZONA ESPANOLA
ABENVD5;ABENER TARIFA SOLNOVA 3;ABENER ENERGIA, S.A.;100;GENERACION;BAJA;ZONA ESPANOLA
ABENVD6;ABENER TARIFA SOLNOVA 6;ABENER ENERGIA, S.A.;100;GENERACION;BAJA;ZONA ESPANOLA
ABESC01;ABESA COMPRA;AGUAS DE BARBASTRO ELECTRICIDAD, S.A.;100;COMERCIALIZADOR;;"ZONA ESP	ANOLA"
ABO1;C.T. ABONO 1;HIDROELECTRICA DEL CANTABRICO Generación;100;GENERACION;;ZONA ESPANOLA
ABO2;C.T. ABONO 2;HIDROELECTRICA DEL CANTABRICO Generación;100;GENERACION;;ZONA ESPANOLA
ABRE001;ABENER MERCADO 1;ABENER ENERGIA, S.A.;100;GENERACION;BAJA;ZONA ESPANOLA
ABRE002;ABENER MERCADO 2;ABENER ENERGIA, S.A.;100;GENERACION;BAJA;ZONA ESPANOLA
ABRE003;ABENER MERCADO 3;ABENER ENERGIA, S.A.;100;GENERACION;BAJA;ZONA ESPANOLA
ABRE004;ABENER MERCADO 4;ABENER ENERGIA, S.A.;100;GENERACION;BAJA;ZONA ESPANOLA
ABRE005;ABENER MERCADO 5;ABENER ENERGIA, S.A.;100;GENERACION;BAJA;ZONA ESPANOLA
ABRE006;ABENER MERCADO 6;ABENER ENERGIA, S.A.;100;GENERACION;BAJA;ZONA ESPANOLA
ABRE007;REPRESENTACION ABENER - PS20;ABENER ENERGIA, S.A.;100;GENERACION;BAJA;ZONA ESPANOLA
ABRE008;SOLN1 - REPRESENTABENER;ABENER ENERGIA, S.A.;100;GENERACION;BAJA;ZONA ESPANOLA
ABRE009;SOLN3 - ABENER REPRESENT;ABENER ENERGIA, S.A.;100;GENERACION;BAJA;ZONA ESPANOLA
ABRE010;SOLN4 - ABENER REPRESENTACION;ABENER ENERGIA, S.A.;100;GENERACION;BAJA;ZONA ESPANOLA
ABRE011;UOF MERCADO TERMOSOLAR;ABENER ENERGIA, S.A.;100;GENERACION;BAJA;ZONA ESPANOLA
ABTC01;AGUAS DE BARBASTRO COMPRA(ESP);AGUAS DE BARBASTRO;100;COMERCIALIZADOR;BAJA;ZONA ESPANOLA
ACAVADB;BOMBAS DO CAVADO;EDP-ENERGÍAS DE PORTUGAL;100;BOMBEO;;ZONA PORTUGUESA
ACAVADO;CAVADO;EDP-ENERGÍAS DE PORTUGAL;100;GENERACION;;ZONA PORTUGUESA
ACBFRAE;UP ACCION COOD. FRAN-ESP;RED ELECTRICA DE ESPANA, S.A.U.;100;CONTRATO INTERNACIONAL;;FRONTERA FRANCIA
ACBFRAI;UP. ACCION COORD. ESP-FRAN;RED ELECTRICA DE ESPANA, S.A.U.;100;CONTRATO INTERNACIONAL;;FRONTERA FRANCIA
ACBPORE;ACCION COORD. BALANCE PORT EXP;RED ELECTRICA DE ESPANA, S.A.U.;100;CONTRATO INTERNACIONAL;;ZONA ESPANOLA
ACBPORI;ACCION COORD. BALANCE PORT IMP;RED ELECTRICA DE ESPANA, S.A.U.;100;CONTRATO INTERNACIONAL;;ZONA ESPANOLA
ACC1EBR;AC.GREEN EN. DEV. VENTA RO 1;ACCIONA GREEN ENERGY DEVELOPMENTS (ACT. COMERCI;100;GENERACION;;ZONA ESPANOLA
ACC2EBR;AC. GREEN EN. DEV. VENTA RO2;ACCIONA GREEN ENERGY DEVELOPMENTS (ACT. COMERCI;100;GENERACION;;ZONA ESPANOLA
ACE1;C.T. ACECA 1;GAS NATURAL SDG;50;GENERACION;BAJA;ZONA ESPANOLA
ACE2;C.T. ACECA 2;GAS NATURAL SDG (UNIÓN FENOSA GENERACIÓN);50;GENERACION;BAJA;ZONA ESPANOLA
ACE3;C.C. ACECA 3;IBERDROLA GENERACIÓN;100;GENERACION;;ZONA ESPANOLA
ACE4;C.C. ACECA 4;GAS NATURAL SDG;100;GENERACION;;ZONA ESPANOLA
ACEBO;P.E DEL ACEBO;PARQUES EÓLICOS DEL CANTÁBRICO;100;GENERACION;BAJA;ZONA ESPANOLA
ACELC03;ACCORD EN. TRADE COMPRA(FRAN);CENTRICA ENERGY LIMITED;100;COMERCIALIZADOR;BAJA;FRONTERA FRANCIA
ACELCP3;ACEL DERECHOS COMPRA(FRAN);CENTRICA ENERGY LIMITED;100;COMERCIALIZADOR;BAJA;FRONTERA FRANCIA
ACELV03;ACCORD EN. TRADE VENTA (FRAN);CENTRICA ENERGY LIMITED;100;COMERCIALIZADOR;BAJA;FRONTERA FRANCIA
ACELVA3;ACCORD EN. TRADE VENTA 2 (FR);CENTRICA ENERGY LIMITED;100;COMERCIALIZADOR;BAJA;FRONTERA FRANCIA
ACELVB3;ACCORD EN. TRADE VENTA 3 (FR);CENTRICA ENERGY LIMITED;100;COMERCIALIZADOR;BAJA;FRONTERA FRANCIA
ACELVC3;ACCORD EN. TRADE VENTA 4 (FR);CENTRICA ENERGY LIMITED;100;COMERCIALIZADOR;BAJA;FRONTERA FRANCIA
ACELVD3;ACCORD EN. TRADE VENTA 5 (FR);CENTRICA ENERGY LIMITED;100;COMERCIALIZADOR;BAJA;FRONTERA FRANCIA
